CpG Number,Start Position,End Position,Obs/Exp,%GC
130,872,1071,1.88,56.50
131,873,1072,1.85,57.00
132,874,1073,1.82,57.50
133,875,1074,1.79,58.00
134,876,1075,1.74,58.00
135,877,1076,1.77,57.50
136,878,1077,1.74,58.00
137,879,1078,1.76,58.50
138,880,1079,1.76,58.50
139,881,1080,1.76,58.50
140,882,1081,1.75,58.50
141,883,1082,1.72,59.00
142,884,1083,1.75,58.50
143,885,1084,1.72,59.00
144,886,1085,1.72,59.00
145,887,1086,1.67,59.00
146,888,1087,1.67,59.00
147,889,1088,1.69,59.50
148,890,1089,1.69,59.50
149,891,1090,1.72,59.00
150,892,1091,1.72,59.00
151,893,1092,1.72,59.00
152,894,1093,1.69,58.50
153,895,1094,1.72,58.00
154,896,1095,1.75,58.50
155,897,1096,1.72,59.00
156,898,1097,1.72,59.00
157,899,1098,1.75,58.50
158,900,1099,1.72,58.00
159,901,1100,1.78,58.00
160,902,1101,1.81,57.50
161,903,1102,1.81,57.50
162,904,1103,1.76,57.50
163,905,1104,1.76,57.50
164,906,1105,1.76,57.50
165,907,1106,1.81,57.50
166,908,1107,1.85,57.00
167,909,1108,1.79,57.00
168,910,1109,1.75,57.50
169,911,1110,1.75,57.50
170,912,1111,1.79,57.00
171,913,1112,1.72,57.00
172,914,1113,1.75,56.50
173,915,1114,1.82,56.50
174,916,1115,1.79,57.00
175,917,1116,1.79,57.00
176,918,1117,1.79,57.00
177,919,1118,1.79,57.00
178,920,1119,1.76,57.50
179,921,1120,1.76,57.50
180,922,1121,1.69,57.50
181,923,1122,1.69,57.50
182,924,1123,1.66,58.00
183,925,1124,1.66,58.00
184,926,1125,1.66,58.00
185,927,1126,1.69,57.50
186,928,1127,1.63,57.50
187,929,1128,1.61,58.00
188,930,1129,1.61,58.00
189,931,1130,1.63,57.50
190,932,1131,1.69,57.50
191,933,1132,1.72,57.00
192,934,1133,1.69,57.50
193,935,1134,1.69,57.50
194,936,1135,1.69,57.50
195,937,1136,1.66,57.00
196,938,1137,1.72,57.00
197,939,1138,1.72,57.00
198,940,1139,1.72,57.00
199,941,1140,1.72,57.00
200,942,1141,1.66,57.00
201,943,1142,1.72,57.00
202,944,1143,1.75,56.50
203,945,1144,1.72,57.00
204,946,1145,1.66,57.00
205,947,1146,1.66,57.00
206,948,1147,1.66,57.00
207,949,1148,1.69,56.50
208,950,1149,1.72,56.00
209,951,1150,1.79,56.00
210,952,1151,1.75,56.50
211,953,1152,1.69,56.50
212,954,1153,1.75,56.50
213,955,1154,1.76,56.50
214,956,1155,1.76,56.50
215,957,1156,1.73,57.00
216,958,1157,1.73,57.00
217,959,1158,1.79,57.00
218,960,1159,1.76,57.50
219,961,1160,1.73,57.00
220,962,1161,1.76,56.50
221,963,1162,1.73,57.00
222,964,1163,1.73,57.00
223,965,1164,1.73,57.00
224,966,1165,1.70,56.50
225,967,1166,1.70,56.50
226,968,1167,1.70,56.50
227,969,1168,1.70,56.50
228,970,1169,1.70,56.50
229,971,1170,1.67,56.00
230,972,1171,1.67,56.00
231,973,1172,1.61,56.00
232,974,1173,1.61,56.00
233,975,1174,1.61,56.00
234,976,1175,1.61,56.00
235,977,1176,1.55,56.00
236,978,1177,1.55,56.00
237,979,1178,1.55,56.00
238,980,1179,1.50,56.00
239,981,1180,1.52,55.50
240,982,1181,1.55,56.00
241,983,1182,1.50,56.00
242,984,1183,1.50,56.00
243,985,1184,1.50,56.00
244,986,1185,1.55,56.00
245,987,1186,1.55,56.00
246,988,1187,1.52,56.50
247,989,1188,1.47,56.50
248,990,1189,1.44,57.00
249,991,1190,1.44,57.00
250,992,1191,1.48,57.50
251,993,1192,1.42,57.50
252,994,1193,1.42,57.50
253,995,1194,1.48,57.50
254,996,1195,1.46,58.00
255,997,1196,1.44,58.50
256,998,1197,1.42,59.00
257,999,1198,1.43,59.00
258,1000,1199,1.43,59.00
259,1001,1200,1.44,59.00
260,1002,1201,1.47,59.50
261,1003,1202,1.45,60.00
262,1004,1203,1.48,59.50
263,1005,1204,1.50,60.00
264,1006,1205,1.50,60.00
265,1007,1206,1.52,60.00
266,1008,1207,1.50,60.50
267,1009,1208,1.48,61.00
268,1010,1209,1.46,61.50
269,1011,1210,1.46,61.50
270,1012,1211,1.46,61.50
271,1013,1212,1.50,61.50
272,1014,1213,1.44,61.50
273,1015,1214,1.43,62.00
274,1016,1215,1.44,62.00
275,1017,1216,1.42,62.50
276,1018,1217,1.44,62.00
277,1019,1218,1.44,62.00
278,1020,1219,1.46,61.50
279,1021,1220,1.48,62.00
280,1022,1221,1.46,62.50
281,1023,1222,1.48,62.00
282,1024,1223,1.48,62.00
283,1025,1224,1.46,61.50
284,1026,1225,1.46,61.50
285,1027,1226,1.48,62.00
286,1028,1227,1.45,62.50
287,1029,1228,1.48,62.00
288,1030,1229,1.45,62.50
289,1031,1230,1.45,62.50
290,1032,1231,1.43,63.00
291,1033,1232,1.41,63.50
292,1034,1233,1.47,63.50
293,1035,1234,1.47,63.50
294,1036,1235,1.47,63.50
295,1037,1236,1.47,63.50
296,1038,1237,1.44,64.00
297,1039,1238,1.45,63.50
298,1040,1239,1.43,64.00
299,1041,1240,1.43,64.00
300,1042,1241,1.43,64.00
301,1043,1242,1.40,63.50
302,1044,1243,1.38,64.00
303,1045,1244,1.36,64.50
304,1046,1245,1.36,64.50
305,1047,1246,1.41,64.50
306,1048,1247,1.44,64.00
307,1049,1248,1.41,64.50
308,1050,1249,1.39,65.00
309,1051,1250,1.41,64.50
310,1052,1251,1.38,64.00
311,1053,1252,1.44,64.00
312,1054,1253,1.42,64.50
313,1055,1254,1.44,65.00
314,1056,1255,1.44,65.00
315,1057,1256,1.45,65.00
316,1058,1257,1.45,65.00
317,1059,1258,1.47,65.50
318,1060,1259,1.47,65.50
319,1061,1260,1.49,65.00
320,1062,1261,1.51,64.50
321,1063,1262,1.47,64.50
322,1064,1263,1.47,64.50
323,1065,1264,1.47,64.50
324,1066,1265,1.51,64.50
325,1067,1266,1.51,64.50
326,1068,1267,1.51,64.50
327,1069,1268,1.49,64.00
328,1070,1269,1.47,64.50
329,1071,1270,1.50,64.00
330,1072,1271,1.52,64.50
331,1073,1272,1.54,64.00
332,1074,1273,1.54,64.00
333,1075,1274,1.58,64.00
334,1076,1275,1.58,64.00
335,1077,1276,1.58,64.00
336,1078,1277,1.62,64.00
337,1079,1278,1.60,63.50
338,1080,1279,1.63,63.00
339,1081,1280,1.66,62.50
340,1082,1281,1.70,62.00
341,1083,1282,1.74,61.50
342,1084,1283,1.71,62.00
343,1085,1284,1.75,61.50
344,1086,1285,1.77,61.00
345,1087,1286,1.77,61.00
346,1088,1287,1.77,61.00
347,1089,1288,1.77,61.00
348,1090,1289,1.77,61.00
349,1091,1290,1.77,61.00
350,1092,1291,1.77,61.00
351,1093,1292,1.79,61.50
352,1094,1293,1.79,61.50
353,1095,1294,1.77,62.00
354,1096,1295,1.73,62.00
355,1097,1296,1.73,62.00
356,1098,1297,1.75,61.50
357,1099,1298,1.75,61.50
358,1100,1299,1.77,62.00
359,1101,1300,1.75,61.50
360,1102,1301,1.73,62.00
361,1103,1302,1.71,62.50
362,1104,1303,1.71,62.50
363,1105,1304,1.73,62.00
364,1106,1305,1.75,62.50
365,1107,1306,1.73,62.00
366,1108,1307,1.73,62.00
367,1109,1308,1.77,61.50
368,1110,1309,1.77,61.50
369,1111,1310,1.74,62.00
370,1112,1311,1.76,62.50
371,1113,1312,1.78,62.00
372,1114,1313,1.75,62.50
373,1115,1314,1.73,62.00
374,1116,1315,1.74,62.00
375,1117,1316,1.74,62.00
376,1118,1317,1.77,61.50
377,1119,1318,1.75,61.00
378,1120,1319,1.77,60.50
379,1121,1320,1.77,60.50
380,1122,1321,1.79,60.00
381,1123,1322,1.81,60.50
382,1124,1323,1.84,60.00
383,1125,1324,1.86,59.50
384,1126,1325,1.85,59.50
385,1127,1326,1.85,59.50
386,1128,1327,1.85,59.50
387,1129,1328,1.87,59.00
388,1130,1329,1.90,58.50
389,1131,1330,1.90,58.50
390,1132,1331,1.85,58.50
391,1133,1332,1.85,58.50
392,1134,1333,1.85,58.50
393,1135,1334,1.88,58.00
394,1136,1335,1.90,57.50
395,1137,1336,1.93,58.00
396,1138,1337,1.90,57.50
397,1139,1338,1.93,57.00
398,1140,1339,1.92,57.00
399,1141,1340,1.92,57.00
400,1142,1341,1.92,57.00
401,1143,1342,1.90,56.50
402,1144,1343,1.92,57.00
403,1145,1344,1.92,57.00
404,1146,1345,1.91,57.00
405,1147,1346,1.91,57.00
406,1148,1347,1.87,57.50
407,1149,1348,1.87,57.50
408,1150,1349,1.87,57.50
409,1151,1350,1.80,57.50
410,1152,1351,1.79,57.50
411,1153,1352,1.82,57.00
412,1154,1353,1.76,57.00
413,1155,1354,1.76,57.00
414,1156,1355,1.79,56.50
415,1157,1356,1.81,56.00
416,1158,1357,1.81,56.00
417,1159,1358,1.81,56.00
418,1160,1359,1.81,56.00
419,1161,1360,1.78,56.50
420,1162,1361,1.75,57.00
421,1163,1362,1.76,57.00
422,1164,1363,1.79,56.50
423,1165,1364,1.84,56.50
424,1166,1365,1.84,56.50
425,1167,1366,1.84,56.50
426,1168,1367,1.84,56.50
427,1169,1368,1.79,56.50
428,1170,1369,1.81,56.00
429,1171,1370,1.79,56.50
430,1172,1371,1.81,56.00
431,1173,1372,1.81,56.00
432,1174,1373,1.81,56.00
433,1175,1374,1.87,56.00
434,1176,1375,1.87,56.00
435,1177,1376,1.90,55.50
436,1178,1377,1.93,55.00
437,1179,1378,1.96,55.50
438,1180,1379,1.99,55.00
439,1181,1380,1.99,55.00
440,1182,1381,1.97,54.50
441,1183,1382,1.97,54.50
442,1184,1383,2.00,54.00
443,1185,1384,2.00,54.00
444,1186,1385,1.97,53.50
445,1187,1386,1.97,53.50
446,1188,1387,1.98,53.50
447,1189,1388,1.98,53.50
448,1190,1389,2.01,53.00
449,1191,1390,2.05,52.50
450,1192,1391,2.02,52.00
451,1193,1392,2.05,51.50
452,1194,1393,2.05,51.50
453,1195,1394,2.02,51.00
454,1196,1395,2.09,51.00
455,1197,1396,2.09,51.00
456,1198,1397,2.13,50.50
457,1199,1398,2.17,50.00
458,1200,1399,2.17,50.00
459,1201,1400,2.17,50.00
460,2036,2235,1.93,50.00
461,2037,2236,1.89,50.50
462,2038,2237,1.89,50.50
463,2039,2238,1.89,50.50
464,2040,2239,1.89,50.50
465,2041,2240,1.88,50.50
466,2042,2241,1.85,51.00
467,2043,2242,1.89,51.50
468,2044,2243,1.92,51.00
469,2045,2244,1.89,51.50
470,2046,2245,1.89,51.50
471,2047,2246,1.85,51.00
472,2048,2247,1.89,50.50
473,2049,2248,1.92,50.00
474,2050,2249,1.92,50.00
475,2051,2250,1.92,50.00
476,2052,2251,1.88,50.50
477,2053,2252,1.85,51.00
478,2054,2253,1.81,51.50
479,2055,2254,1.85,51.00
480,2056,2255,1.82,51.50
481,2057,2256,1.82,51.50
482,2058,2257,1.82,51.50
483,2059,2258,1.86,52.00
484,2060,2259,1.85,52.00
485,2061,2260,1.85,52.00
486,2062,2261,1.85,52.00
487,2063,2262,1.85,52.00
488,2064,2263,1.89,51.50
489,2065,2264,1.89,51.50
490,2066,2265,1.92,51.00
491,2067,2266,1.89,51.50
492,2068,2267,1.89,51.50
493,2069,2268,1.85,52.00
494,2070,2269,1.85,52.00
495,2071,2270,1.92,52.00
496,2072,2271,1.92,52.00
497,2073,2272,1.92,52.00
498,2074,2273,1.96,51.50
499,2075,2274,1.93,52.00
500,2076,2275,1.85,52.00
501,2077,2276,1.89,51.50
502,2078,2277,1.92,51.00
503,2079,2278,1.92,51.00
504,2080,2279,1.96,50.50
505,2081,2280,2.00,50.00
506,2082,2281,2.00,50.00
507,2083,2282,2.00,50.00
508,2084,2283,2.00,50.00
509,2287,2486,2.00,50.00
510,2288,2487,2.00,50.00
511,2289,2488,1.97,50.50
512,2290,2489,1.97,50.50
513,2291,2490,1.97,50.50
514,2292,2491,1.97,50.50
515,2293,2492,2.00,51.00
516,2294,2493,2.03,50.50
517,2295,2494,2.03,50.50
518,2296,2495,2.06,50.00
519,2297,2496,2.06,50.00
520,2298,2497,2.06,50.00
521,2300,2499,2.06,50.00
522,2301,2500,2.06,50.00
523,2302,2501,2.06,50.00
524,2305,2504,2.12,50.00
525,2636,2835,1.75,50.00
526,2932,3131,1.76,50.00
527,2933,3132,1.73,50.50
528,2934,3133,1.73,50.50
529,2935,3134,1.73,50.50
530,2936,3135,1.73,50.50
531,2937,3136,1.74,50.50
532,2938,3137,1.71,51.00
533,2939,3138,1.68,51.50
534,2940,3139,1.68,51.50
535,2941,3140,1.68,51.50
536,2942,3141,1.68,51.50
537,2943,3142,1.64,51.00
538,2944,3143,1.65,51.00
539,2945,3144,1.66,51.00
540,2946,3145,1.66,51.00
541,2947,3146,1.61,50.50
542,2948,3147,1.66,51.00
543,2949,3148,1.62,51.50
544,2950,3149,1.66,51.00
545,2951,3150,1.67,51.00
546,2952,3151,1.68,51.00
547,2953,3152,1.71,50.50
548,2954,3153,1.71,50.50
549,2955,3154,1.71,50.50
550,2956,3155,1.71,50.50
551,2957,3156,1.68,51.00
552,2958,3157,1.65,51.50
553,2959,3158,1.63,52.00
554,2960,3159,1.60,52.50
555,2961,3160,1.58,53.00
556,2962,3161,1.60,52.50
557,2963,3162,1.56,52.00
558,2964,3163,1.56,52.00
559,2965,3164,1.60,51.50
560,2966,3165,1.60,51.50
561,2967,3166,1.64,52.00
562,2968,3167,1.62,52.50
563,2969,3168,1.64,52.00
564,2970,3169,1.64,52.00
565,2971,3170,1.62,52.50
566,2972,3171,1.59,53.00
567,2973,3172,1.59,53.00
568,2974,3173,1.59,53.00
569,2975,3174,1.59,53.00
570,2976,3175,1.62,52.50
571,2977,3176,1.62,52.50
572,2978,3177,1.62,52.50
573,2979,3178,1.58,52.00
574,2980,3179,1.58,52.00
575,2981,3180,1.55,52.50
576,2982,3181,1.59,52.00
577,2983,3182,1.59,52.00
578,2984,3183,1.63,52.50
579,2985,3184,1.62,52.50
580,2986,3185,1.64,52.00
581,2987,3186,1.67,51.50
582,2988,3187,1.63,51.00
583,2989,3188,1.63,51.00
584,2990,3189,1.67,50.50
585,2991,3190,1.67,50.50
586,2992,3191,1.67,50.50
587,2993,3192,1.63,51.00
588,2994,3193,1.65,50.50
589,2995,3194,1.68,50.00
590,2996,3195,1.68,50.00
591,2998,3197,1.60,50.00
592,2999,3198,1.58,50.00
593,3000,3199,1.54,50.50
594,3001,3200,1.50,50.00
595,3002,3201,1.46,50.50
596,3003,3202,1.45,50.50
597,3004,3203,1.38,50.50
598,3005,3204,1.42,50.00
599,3006,3205,1.50,50.00
600,3007,3206,1.49,50.00
601,3008,3207,1.46,50.50
602,3009,3208,1.42,50.00
603,3010,3209,1.43,50.00
604,3011,3210,1.43,50.00
605,3012,3211,1.48,50.50
606,3013,3212,1.45,51.00
607,3014,3213,1.47,51.00
608,3015,3214,1.47,51.00
609,3016,3215,1.49,50.50
610,3017,3216,1.53,51.00
611,3018,3217,1.56,50.50
612,3019,3218,1.53,51.00
613,3020,3219,1.51,51.50
614,3021,3220,1.53,51.00
615,3022,3221,1.57,51.50
616,3023,3222,1.54,52.00
617,3024,3223,1.50,52.50
618,3025,3224,1.44,52.50
619,3026,3225,1.46,52.00
620,3027,3226,1.46,52.00
621,3028,3227,1.50,52.50
622,3029,3228,1.47,53.00
623,3030,3229,1.44,53.50
624,3031,3230,1.44,53.50
625,3032,3231,1.48,54.00
626,3033,3232,1.42,54.00
627,3034,3233,1.42,54.00
628,3035,3234,1.48,54.00
629,3036,3235,1.48,54.00
630,3037,3236,1.46,54.50
631,3038,3237,1.48,54.00
632,3039,3238,1.48,54.00
633,3040,3239,1.52,54.50
634,3041,3240,1.45,54.50
635,3042,3241,1.45,54.50
636,3043,3242,1.49,55.00
637,3044,3243,1.45,54.50
638,3045,3244,1.45,54.50
639,3046,3245,1.45,54.50
640,3047,3246,1.45,54.50
641,3048,3247,1.45,54.50
642,3049,3248,1.51,54.50
643,3050,3249,1.48,55.00
644,3051,3250,1.45,55.50
645,3052,3251,1.41,55.00
646,3053,3252,1.44,54.50
647,3054,3253,1.43,54.50
648,3055,3254,1.41,55.00
649,3056,3255,1.41,55.00
650,3057,3256,1.45,55.50
651,3058,3257,1.45,55.50
652,3059,3258,1.43,56.00
653,3060,3259,1.37,56.00
654,3061,3260,1.37,56.00
655,3062,3261,1.35,56.50
656,3063,3262,1.35,56.50
657,3064,3263,1.42,56.50
658,3065,3264,1.42,56.50
659,3066,3265,1.40,57.00
660,3067,3266,1.42,56.50
661,3068,3267,1.45,57.00
662,3069,3268,1.45,57.00
663,3070,3269,1.45,57.00
664,3071,3270,1.43,57.50
665,3072,3271,1.43,57.50
666,3073,3272,1.43,57.50
667,3074,3273,1.43,57.50
668,3075,3274,1.40,57.00
669,3076,3275,1.38,57.50
670,3077,3276,1.41,57.00
671,3078,3277,1.41,57.00
672,3079,3278,1.41,57.00
673,3080,3279,1.41,57.00
674,3081,3280,1.39,57.50
675,3082,3281,1.39,57.50
676,3083,3282,1.33,57.50
677,3084,3283,1.34,57.50
678,3085,3284,1.34,57.50
679,3086,3285,1.34,57.50
680,3087,3286,1.38,57.00
681,3088,3287,1.38,57.00
682,3089,3288,1.39,57.00
683,3090,3289,1.42,56.50
684,3091,3290,1.42,56.50
685,3092,3291,1.40,57.00
686,3093,3292,1.40,57.00
687,3094,3293,1.44,57.50
688,3095,3294,1.42,58.00
689,3096,3295,1.42,58.00
690,3097,3296,1.45,58.50
691,3098,3297,1.45,58.50
692,3099,3298,1.43,59.00
693,3100,3299,1.41,59.50
694,3101,3300,1.36,59.50
695,3102,3301,1.38,59.00
696,3103,3302,1.41,59.50
697,3104,3303,1.35,59.50
698,3105,3304,1.33,60.00
699,3106,3305,1.34,60.00
700,3107,3306,1.33,60.50
701,3108,3307,1.39,60.50
702,3109,3308,1.35,61.00
703,3110,3309,1.34,61.50
704,3111,3310,1.32,62.00
705,3112,3311,1.36,62.00
706,3113,3312,1.36,62.00
707,3114,3313,1.35,62.50
708,3115,3314,1.32,62.00
709,3116,3315,1.32,62.00
710,3117,3316,1.35,62.50
711,3118,3317,1.35,62.50
712,3119,3318,1.35,62.50
713,3120,3319,1.35,62.50
714,3121,3320,1.33,63.00
715,3122,3321,1.30,62.50
716,3123,3322,1.32,62.00
717,3124,3323,1.32,62.00
718,3125,3324,1.28,62.00
719,3126,3325,1.28,62.00
720,3127,3326,1.29,61.50
721,3128,3327,1.29,61.50
722,3129,3328,1.31,61.00
723,3130,3329,1.31,61.00
724,3131,3330,1.33,60.50
725,3132,3331,1.34,60.00
726,3133,3332,1.34,60.00
727,3134,3333,1.34,60.00
728,3135,3334,1.39,60.00
729,3136,3335,1.37,60.50
730,3137,3336,1.42,60.50
731,3138,3337,1.44,60.00
732,3139,3338,1.44,60.00
733,3140,3339,1.42,60.50
734,3141,3340,1.44,60.00
735,3142,3341,1.44,60.00
736,3143,3342,1.46,60.50
737,3144,3343,1.48,60.00
738,3145,3344,1.48,60.00
739,3146,3345,1.50,59.50
740,3147,3346,1.50,59.50
741,3148,3347,1.45,59.50
742,3149,3348,1.47,59.50
743,3150,3349,1.45,60.00
744,3151,3350,1.45,60.00
745,3152,3351,1.47,59.50
746,3153,3352,1.45,60.00
747,3154,3353,1.45,60.00
748,3155,3354,1.45,60.00
749,3156,3355,1.45,60.00
750,3157,3356,1.45,60.00
751,3158,3357,1.45,60.00
752,3159,3358,1.45,60.00
753,3160,3359,1.45,60.00
754,3161,3360,1.45,60.00
755,3162,3361,1.45,60.00
756,3163,3362,1.48,60.50
757,3164,3363,1.44,61.00
758,3165,3364,1.41,61.50
759,3166,3365,1.41,61.50
760,3167,3366,1.39,61.00
761,3168,3367,1.40,60.50
762,3169,3368,1.37,61.00
763,3170,3369,1.36,61.50
764,3171,3370,1.40,61.50
765,3172,3371,1.42,61.00
766,3173,3372,1.40,61.50
767,3174,3373,1.44,61.50
768,3175,3374,1.44,61.50
769,3176,3375,1.41,62.00
770,3177,3376,1.41,62.00
771,3178,3377,1.41,62.00
772,3179,3378,1.39,62.50
773,3180,3379,1.39,62.50
774,3181,3380,1.38,62.50
775,3182,3381,1.38,62.50
776,3183,3382,1.36,63.00
777,3184,3383,1.33,62.50
778,3185,3384,1.34,62.50
779,3186,3385,1.34,62.50
780,3187,3386,1.33,63.00
781,3188,3387,1.31,63.50
782,3189,3388,1.34,63.00
783,3190,3389,1.36,63.50
784,3191,3390,1.34,64.00
785,3192,3391,1.35,64.00
786,3193,3392,1.38,63.50
787,3194,3393,1.37,64.00
788,3195,3394,1.35,64.50
789,3196,3395,1.33,65.00
790,3197,3396,1.33,65.00
791,3198,3397,1.36,64.50
792,3199,3398,1.38,64.50
793,3200,3399,1.41,64.00
794,3201,3400,1.39,64.50
795,3202,3401,1.41,64.50
796,3203,3402,1.44,64.00
797,3204,3403,1.48,64.00
798,3205,3404,1.46,64.50
799,3206,3405,1.44,64.00
800,3207,3406,1.46,64.00
801,3208,3407,1.46,64.00
802,3209,3408,1.46,64.00
803,3210,3409,1.50,64.00
804,3211,3410,1.50,64.00
805,3212,3411,1.46,64.00
806,3213,3412,1.46,64.00
807,3214,3413,1.47,63.50
808,3215,3414,1.47,63.50
809,3216,3415,1.46,64.00
810,3217,3416,1.42,64.00
811,3218,3417,1.44,64.50
812,3219,3418,1.42,64.50
813,3220,3419,1.44,64.00
814,3221,3420,1.41,64.50
815,3222,3421,1.38,64.00
816,3223,3422,1.42,63.50
817,3224,3423,1.45,63.00
818,3225,3424,1.43,63.00
819,3226,3425,1.42,63.50
820,3227,3426,1.42,63.50
821,3228,3427,1.38,63.50
822,3229,3428,1.41,63.00
823,3230,3429,1.45,63.00
824,3231,3430,1.42,63.50
825,3232,3431,1.36,63.50
826,3233,3432,1.38,63.00
827,3234,3433,1.36,63.50
828,3235,3434,1.34,63.00
829,3236,3435,1.35,62.50
830,3237,3436,1.37,62.00
831,3238,3437,1.35,62.50
832,3239,3438,1.34,63.00
833,3240,3439,1.30,63.00
834,3241,3440,1.36,63.00
835,3242,3441,1.36,63.00
836,3243,3442,1.33,62.50
837,3244,3443,1.36,63.00
838,3245,3444,1.36,63.00
839,3246,3445,1.37,62.50
840,3247,3446,1.36,63.00
841,3248,3447,1.34,63.50
842,3249,3448,1.32,63.00
843,3250,3449,1.34,63.00
844,3251,3450,1.37,62.50
845,3252,3451,1.40,63.00
846,3253,3452,1.40,63.00
847,3254,3453,1.44,62.50
848,3255,3454,1.44,62.50
849,3256,3455,1.44,62.50
850,3257,3456,1.44,62.50
851,3258,3457,1.45,62.00
852,3259,3458,1.47,61.50
853,3260,3459,1.47,61.50
854,3261,3460,1.47,61.50
855,3262,3461,1.51,61.50
856,3263,3462,1.47,62.00
857,3264,3463,1.41,62.00
858,3265,3464,1.41,62.00
859,3266,3465,1.42,61.50
860,3267,3466,1.41,62.00
861,3268,3467,1.38,61.50
862,3269,3468,1.38,61.50
863,3270,3469,1.38,61.50
864,3271,3470,1.40,61.00
865,3272,3471,1.42,61.50
866,3273,3472,1.44,61.00
867,3274,3473,1.44,61.00
868,3275,3474,1.42,61.50
869,3276,3475,1.44,61.00
870,3277,3476,1.42,61.50
871,3278,3477,1.44,61.00
872,3279,3478,1.47,61.50
873,3280,3479,1.48,61.00
874,3281,3480,1.46,61.00
875,3282,3481,1.43,61.50
876,3283,3482,1.43,61.50
877,3284,3483,1.45,61.00
878,3285,3484,1.43,61.50
879,3286,3485,1.45,62.00
880,3287,3486,1.42,62.50
881,3288,3487,1.39,63.00
882,3289,3488,1.40,62.50
883,3290,3489,1.37,63.00
884,3291,3490,1.39,62.50
885,3292,3491,1.41,62.00
886,3293,3492,1.39,62.00
887,3294,3493,1.34,62.00
888,3295,3494,1.36,61.50
889,3296,3495,1.34,62.00
890,3297,3496,1.31,61.50
891,3298,3497,1.33,61.00
