CpG Number,Start Position,End Position,Obs/Exp,%GC
196,195,394,2.00,100.00
197,196,395,2.00,100.00
198,197,396,2.00,100.00
199,198,397,2.00,100.00
200,199,398,2.00,100.00
201,200,399,2.00,100.00
202,201,400,2.00,100.00
203,202,401,2.00,100.00
204,203,402,2.00,100.00
205,204,403,2.00,100.00
206,205,404,2.00,100.00
207,206,405,2.00,100.00
208,207,406,2.00,100.00
209,208,407,2.00,100.00
210,209,408,2.00,100.00
211,210,409,2.00,100.00
212,211,410,2.00,100.00
213,212,411,2.00,100.00
214,213,412,2.00,100.00
215,214,413,2.00,100.00
216,215,414,2.00,100.00
217,216,415,2.00,100.00
218,217,416,2.00,100.00
219,218,417,2.00,100.00
220,219,418,2.00,100.00
221,220,419,2.00,100.00
222,221,420,2.00,100.00
223,222,421,2.00,100.00
224,223,422,2.00,100.00
225,224,423,2.00,100.00
226,225,424,2.00,100.00
227,226,425,2.00,100.00
228,227,426,2.00,100.00
229,228,427,2.00,100.00
230,229,428,2.00,100.00
231,230,429,2.00,100.00
232,231,430,2.00,100.00
233,232,431,2.00,100.00
234,233,432,2.00,100.00
235,234,433,2.00,100.00
236,235,434,2.00,100.00
237,236,435,2.00,100.00
238,237,436,2.00,100.00
239,238,437,2.00,100.00
240,239,438,2.00,100.00
241,240,439,2.00,100.00
242,241,440,2.00,100.00
243,242,441,2.00,100.00
244,243,442,2.00,100.00
245,244,443,2.00,100.00
246,245,444,2.00,100.00
247,246,445,2.00,100.00
248,247,446,2.00,100.00
249,248,447,2.00,100.00
250,249,448,2.00,100.00
251,250,449,2.00,100.00
252,251,450,2.00,100.00
253,252,451,2.00,100.00
254,253,452,2.00,100.00
255,254,453,2.00,100.00
256,255,454,2.00,100.00
257,256,455,2.00,100.00
258,257,456,2.00,100.00
259,258,457,2.00,100.00
260,259,458,2.00,100.00
261,260,459,2.00,100.00
262,261,460,2.00,100.00
263,262,461,2.00,100.00
264,263,462,2.00,100.00
265,264,463,2.00,100.00
266,265,464,2.00,100.00
267,266,465,2.00,100.00
268,267,466,2.00,100.00
269,268,467,2.00,100.00
270,269,468,2.00,100.00
271,270,469,2.00,100.00
272,271,470,2.00,100.00
273,272,471,2.00,100.00
274,273,472,2.00,100.00
275,274,473,2.00,100.00
276,275,474,2.00,100.00
277,276,475,2.00,100.00
278,277,476,2.00,100.00
279,278,477,2.00,100.00
280,279,478,2.00,100.00
281,280,479,2.00,100.00
282,281,480,2.00,100.00
283,282,481,2.00,100.00
284,283,482,2.00,100.00
285,284,483,2.00,100.00
286,285,484,2.00,100.00
287,286,485,2.00,100.00
288,287,486,2.00,100.00
289,288,487,2.00,100.00
290,289,488,2.00,100.00
291,290,489,2.00,100.00
292,291,490,2.00,100.00
293,292,491,2.00,100.00
294,293,492,2.00,100.00
295,294,493,2.00,100.00
296,295,494,2.00,100.00
297,296,495,2.00,100.00
298,297,496,2.00,100.00
299,298,497,2.00,100.00
300,299,498,2.00,100.00
